,URL's
0,https://timesofindia.indiatimes.com/world/china/shanghai-residents-frustrated-by-food-shortages-prolonged-lockdowns/articleshow/90590365.cms
1,https://timesofindia.indiatimes.com/world/europe/russia-ukraine-war-live-updates-april-1-2022/liveblog/90577745.cms
2,https://timesofindia.indiatimes.com/india/do-you-know-if-your-sip-is-really-an-sip/articleshow/90512054.cms
3,https://timesofindia.indiatimes.com/business/india-business/gst-collections-at-record-high-of-rs-1-42-lakh-crore-in-march/articleshow/90591025.cms
4,https://timesofindia.indiatimes.com/business/india-business/russia-offers-oil-to-india-at-big-discount-to-pre-war-price/articleshow/90559565.cms
5,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2022-ayush-badoni-gautam-gambhir-kl-rahul-hugged-me-and-said-well-played-thankful-to-him-and-kl-rahul-for-backing-me-says-new-ipl-sensation-ayush-badoni/articleshow/90589966.cms
6,https://timesofindia.indiatimes.com/world/rest-of-world/how-four-powerful-brothers-broke-sri-lanka/articleshow/90536061.cms
7,https://timesofindia.indiatimes.com/city/delhi/why-you-may-be-vaxxed-but-still-not-fully-safe/articleshow/90578311.cms
8,https://www.gadgetsnow.com/slideshows/oneplus-bullets-wireless-z2-buyers-guide-to-oneplus-most-affordable-earphones-of-2022/photolist/90581398.cms
9,https://timesofindia.indiatimes.com/spotlight/australian-education-indian-potential-partnership-for-global-success/articleshow/90444607.cms
10,https://timesofindia.indiatimes.com/amazon-bestsellers
11,https://timesofindia.indiatimes.com/spotlight/good-news-for-taxpayers-invest-in-this-plan-to-get-guaranteed-returns-life-cover-tax-benefits-up-to-64116-u/s-80c/articleshow/90442575.cms
12,https://timesofindia.indiatimes.com/city/bengaluru/ktaka-mulls-making-mask-usage-optional/articleshow/90579116.cms
13,https://www.gadgetsnow.com/featured/explained-iseer-eer-star-ratings-and-what-they-mean-for-your-ac-electricity-bills-and-more/articleshow/90561454.cms
14,https://timesofindia.indiatimes.com/world/south-asia/disaster-tourism-blackouts-shortages-hit-sri-lanka-recovery-hopes/articleshow/90584622.cms
15,https://www.gadgetsnow.com/tech-news/apple-releases-ios-15-4-1-to-fix-battery-drain-issues/articleshow/90584378.cms
16,https://timesofindia.indiatimes.com/watch-food-delivery-executive-thrashes-girl-video-goes-viral/videoshow/90590784.cms
17,https://timesofindia.indiatimes.com/videos/entertainment/english/shocking-banker-kills-26-year-old-adult-film-actress-chops-off-her-body-into-pieces/videoshow/90584281.cms
18,https://timesofindia.indiatimes.com/videos/entertainment/hindi/bechari-ko-aaj-tak-kapde-naseeb-nahi-hue-malaika-arora-gets-brutally-trolled-for-stepping-out-in-a-plunging-neckline-outfit/videoshow/90588143.cms
19,https://timesofindia.indiatimes.com/videos/city/bengaluru/cctv-hindu-activists-threaten-hotel-staff-not-to-serve-halal-food-in-karnatakas-bhadravathi/videoshow/90584608.cms
20,https://timesofindia.indiatimes.com/spotlight/heres-how-jatamansi-is-adding-value-to-hair-care-regimes/articleshow/90433599.cms
21,https://timesofindia.indiatimes.com/spotlight/hybrid-working-is-in-here-are-some-tips-to-keep-productivity-levels-on-track/articleshow/90575178.cms
22,/toi-plus
23,https://timesofindia.indiatimes.com/toi-plus
24,https://timesofindia.indiatimes.com/world/rest-of-world/lying-is-his-profession-its-not-a-sin-making-of-vladmir-putin/articleshow/90567782.cms
25,https://timesofindia.indiatimes.com/india/how-bhiwadi-is-choking-on-its-own-emissions/articleshow/90562536.cms
26,https://timesofindia.indiatimes.com/sports/how-the-bcci-could-see-its-ipl-earnings-triple/articleshow/90570150.cms
27,https://timesofindia.indiatimes.com/city/chandigarh/resolution-seeking-transfer-of-chandigarh-to-punjab-passed-unanimously-in-assembly/articleshow/90589440.cms
28,https://timesofindia.indiatimes.com/india/pm-modis-pariksha-pe-charcha-with-students-key-highlights/articleshow/90586301.cms
29,https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-brahmin-woman-moves-hc-for-no-religion-no-caste-certificate/articleshow/90589620.cms
30,https://timesofindia.indiatimes.com/india/in-uk-foreign-secretarys-presence-eam-hits-out-at-campaign-against-india/articleshow/90578848.cms
31,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2022-kkr-vs-pbks-kolkata-knight-riders-look-to-take-the-fight-to-high-flying-punjab-kings/articleshow/90581375.cms
32,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2022-it-was-like-niagara-falls-says-coach-stephen-fleming-on-dew-after-csks-defeat-against-lucknow/articleshow/90583959.cms
33,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/choreographer-ganesh-acharya-charged-for-harassment-stalking-and-voyeurism-by-mumbai-police-in-a-2020-case-filed-by-co-dancer/articleshow/90586933.cms
34,https://timesofindia.indiatimes.com/city/shimla/max-temperatures-unusually-high-in-hp/articleshow/90579571.cms
35,https://timesofindia.indiatimes.com/entertainment/telugu/movies/box-office/rrr-box-office-collections-day-7-the-films-telugu-version-mints-rs-8-crores-on-the-last-weekday/articleshow/90584586.cms
36,https://timesofindia.indiatimes.com/world/europe/russia-ukraine-war-live-updates/liveblog/90577745.cms
37,https://timesofindia.indiatimes.com/india/covid-19-pandemic-omicron-variant-live-updates-april-1/liveblog/90577844.cms
38,https://timesofindia.indiatimes.com/religion/festivals/chaitra-navratri-2022-know-kalash/-ghata-sthapana-date-time-and-significance-of-hindu-new-year/articleshow/90587469.cms
39,https://timesofindia.indiatimes.com/sports/cricket/ipl/live-blog/lsg-vs-csk-live-score-updates-ipl-2022-lucknow-super-giants-chennai-super-kings/liveblog/90568677.cms
40,https://timesofindia.indiatimes.com/world/pakistan/wont-resign-in-gaffe-imran-says-us-foreign-hand-behind-conspiracy/articleshow/90578163.cms
41,https://timesofindia.indiatimes.com/india/covid-19-india-reports-1225-new-cases-28-deaths-in-24-hours-active-caseload-dips-to-14307/articleshow/90556940.cms
42,https://timesofindia.indiatimes.com/world/south-asia/hundreds-clash-with-police-outside-presidents-residence-in-colombo-amid-growing-economic-crisis/articleshow/90576802.cms
43,https://timesofindia.indiatimes.com/city/mumbai/maharashtra-lifts-all-covid-related-curbs-wearing-of-masks-made-voluntary/articleshow/90570177.cms
44,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2022-gautam-gambhirs-reaction-goes-viral-as-lucknow-super-giants-register-maiden-win/articleshow/90581406.cms
45,https://timesofindia.indiatimes.com/etimes
46,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/malaika-arora-gets-trolled-for-her-gingham-wrap-dress/articleshow/90591317.cms
47,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/randhir-kapoor-speaks-out-i-have-no-dementia-ranbir-is-entitled-to-say-what-he-wants-exclusive-interview/articleshow/90576199.cms
48,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khan-is-now-a-part-of-a-crossword-puzzle-in-a-us-newspaper-see-pic/articleshow/90588516.cms
49,https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/yami-gautams-comfy-and-chic-looks-from-dasvi-promotions/photostory/90589603.cms
50,https://timesofindia.indiatimes.com/tv/news/hindi/exclusive-urfi-javed-i-was-recently-told-by-a-casting-director-aap-ko-tv-mein-ab-kaam-nahi-milega-aap-ki-image-itni-gandi-hogayi-hai/photostory/90589334.cms
51,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/abhishek-bachchan-reveals-how-aishwarya-rai-helped-him-deal-with-trolls-and-negativity/articleshow/90589790.cms
52,https://timesofindia.indiatimes.com/entertainment/punjabi/movie-reviews/lekh/movie-review/90590351.cms
53,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/raashii-khanna-john-abraham-advised-me-to-learn-when-to-say-no-exclusive/articleshow/90583834.cms
54,https://timesofindia.indiatimes.com/entertainment/english/web-stories/jared-leto-to-natalie-portman-oscar-winners-starring-in-superhero-movies/photostory/90581217.cms
55,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kareena-kapoor-khan-sends-welcome-home-biryani-to-bff-malaika-arora-receives-her-mathri-stash-from-masaba-gupta/articleshow/90589330.cms
56,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/salman-khans-neighbours-statements-against-him-appear-to-be-supported-by-documentary-evidence-court-says-in-defamation-case/articleshow/90556506.cms
57,https://timesofindia.indiatimes.com/life-style/spotlight/web-stories/actors-who-are-childhood-friends/photostory/90578291.cms
58,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/explainer-how-to-know-if-the-swelling-in-your-leg-or-ankle-is-normal-experts-answer/articleshow/90563094.cms
59,https://beautypageants.indiatimes.com/miss-india/femina-miss-india-2022-india-we-are-overwhelmed-by-your-response/articleshow/90501108.cms
60,https://timesofindia.indiatimes.com/tv/news/hindi/kashmera-shah-congratulates-sonu-nigam-for-being-awarded-the-padma-shri-writes-there-is-no-one-that-deserves-it-more-than-you-my-friend/articleshow/90588205.cms
61,https://timesofindia.indiatimes.com/tv/web-stories/hindi/tv-celeb-inspired-gudi-padwa-outfits/photostory/90570939.cms
62,https://timesofindia.indiatimes.com/tv/news/hindi/divya-agarwal-wishes-ex-boyfriend-varun-sood-on-his-27th-birthday/articleshow/90585928.cms
63,https://timesofindia.indiatimes.com/entertainment/bengali/web-stories/tollywood-divas-guide-to-saree-and-swag/photostory/90569270.cms
64,https://timesofindia.indiatimes.com/entertainment/telugu/web-stories/ten-alluring-pictures-of-the-ghost-actress-sonal-chauhan/photostory/90585107.cms
65,https://photogallery.indiatimes.com/
66,https://photogallery.indiatimes.com/awards/awards-and-honours/grazia-millennial-awards-2022-janhvi-kapoor-ranveer-singh-kiara-advani-other-stars-dazzle-at-the-red-carpet/articleshow/90574798.cms
67,https://photogallery.indiatimes.com/sports/basket-ball/valentina-vignali-the-italian-basketball-player-who-is-making-heads-turn-with-her-jaw-dropping-fashionable-photos/articleshow/89268340.cms
68,https://photogallery.indiatimes.com/fashion/foreign-models-in-india/winnie-harlow-turns-up-the-heat-with-her-glamorous-photoshoots/articleshow/69972757.cms
69,https://photogallery.indiatimes.com/awards/filmfare-awards/6th-planet-filmfare-marathi-awards-2021-sonalee-kulkarni-rupali-bhosale-nehha-pendse-and-other-stars-grace-the-red-carpet/articleshow/90571002.cms
70,https://photogallery.indiatimes.com/celebs/music/these-stunning-beach-looks-of-sophie-choudry-are-the-inspo-you-need-for-your-vacation/articleshow/86812375.cms
71,https://photogallery.indiatimes.com/awards/filmfare-awards/6th-planet-filmfare-marathi-awards-2021-stars-set-the-stage-on-fire-with-their-thrilling-performances/articleshow/90576258.cms
72,https://photogallery.indiatimes.com/celebs/etimes-snapped/etimessnapped-from-jacqueline-fernandez-to-nora-fatehi-paparazzi-pictures-of-your-favourite-celebs/articleshow/90573052.cms
73,https://photogallery.indiatimes.com/celebs/music/rihanna-flaunts-her-baby-bump-in-a-belly-baring-black-sheer-dress-at-beyonce-jay-zs-party/articleshow/90568990.cms
74,https://photogallery.indiatimes.com/celebs/bollywood/vicky-kaushal-and-katrina-kaif-beat-the-heat-in-style-as-they-jet-off-for-a-romantic-getaway/articleshow/90566263.cms
75,https://timesofindia.indiatimes.com/web-series/reviews
76,https://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/attack/movie-review/90583206.cms
77,https://timesofindia.indiatimes.com/entertainment/telugu/movie-reviews/mishan-impossible/movie-review/90587700.cms
78,https://timesofindia.indiatimes.com/entertainment/telugu/movie-reviews/rrr/movie-review/90433950.cms
79,/games/crossword
80,/games/sudoku
81,/games/word-search
82,/games/word-flower
83,https://timesofindia.indiatimes.com/sports/cricket/ipl
84,/sports/cricket/ipl/top-stories/ipl-2022-ayush-badoni-gautam-gambhir-kl-rahul-hugged-me-and-said-well-played-thankful-to-him-and-kl-rahul-for-backing-me-says-new-ipl-sensation-ayush-badoni/articleshow/90589966.cms
85,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2022-mumbai-indians-are-slow-starters-but-its-still-early-days-says-zaheer-khan/articleshow/90589457.cms
86,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/bhanuka-rajapaksa-ipl-2022-punjab-kings-are-a-special-team-this-season-because-of-the-firepower-they-have-can-see-them-winning-maiden-title/articleshow/90588366.cms
87,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ayush-badoni-meet-the-ipl-newbie-who-has-taken-the-cricketing-world-by-storm/articleshow/90590505.cms
88,https://timesofindia.indiatimes.com/sports/cricket/ipl/schedule
89,https://timesofindia.indiatimes.com/sports/cricket/ipl/teams
90,https://timesofindia.indiatimes.com/sports/cricket/ipl/photos
91,https://timesofindia.indiatimes.com/sports/cricket/ipl/stats
92,https://timesofindia.indiatimes.com/city
93,javascript: void(0)
94,https://timesofindia.indiatimes.com/city/jaipur/raj-cops-claim-to-unearth-terror-plot-3-held-with-12kg-explosives-timer-clocks/articleshow/90579402.cms
95,https://timesofindia.indiatimes.com/city/hyderabad/fools-day-if-fooling-is-an-art-brain-is-the-abettor/articleshow/90579194.cms
96,https://timesofindia.indiatimes.com/city/ahmedabad/loan-recovery-agents-share-nude-pictures-of-woman/articleshow/90579360.cms
97,https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-assembly-passes-bill-against-stray-cattle-in-cities/articleshow/90580235.cms
98,https://timesofindia.indiatimes.com/city/rajkot/loco-pilots-of-goods-trains-saved-83-lions-from-death-in-two-years/articleshow/90579577.cms
99,https://timesofindia.indiatimes.com/videos/toi-original/himachal-pradesh-water-rationing-starts-in-shimla-amid-heat-wave-water-shortage/videoshow/90588892.cms
100,https://timesofindia.indiatimes.com/city/live-news-from-cities-night-curfew-in-up-rajasthan-mp-jharkhand-chhattisgarh-01-april-2022/liveblog/90580483.cms
101,https://timesofindia.indiatimes.com/city/chennai/iron-rod-pierces-sleeping-man-after-he-rolls-off-terrace-in-tamil-nadu/articleshow/90581673.cms
102,https://timesofindia.indiatimes.com/coronavirus
103,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-what-you-need-to-know-about-no-mask-anxiety-as-some-indian-states-lift-all-covid-restrictions-make-face-masks-optional/photostory/90589224.cms
104,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-you-may-develop-these-long-covid-symptoms-depending-on-the-covid-19-variant-you-catch/photostory/90543079.cms
105,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-as-covid-restrictions-ease-steps-to-take-if-you-have-cold-like-symptoms/photostory/90563054.cms
106,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-effect-impact-of-covid-on-sexual-health-is-not-talked-about-enough/photostory/90537746.cms
107,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/delta-omicron-recombinant-virus-vs-ba-2-stealth-omicron-the-difference-and-which-is-the-more-concerning-covid-variant/photostory/90514951.cms
108,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-infection-experts-link-zinc-deficiency-to-covid-attack-know-the-symptoms-of-zinc-deficiency/photostory/90497950.cms
109,https://timesofindia.indiatimes.com/coronavirus/data/covid-19-spread
110,https://timesofindia.indiatimes.com/coronavirus/india
111,https://timesofindia.indiatimes.com/coronavirus/data/covid-19-response
112,https://timesofindia.indiatimes.com/coronavirus/india/delhi
113,https://timesofindia.indiatimes.com/life-style
114,https://timesofindia.indiatimes.com/life-style/health-fitness
115,https://timesofindia.indiatimes.com/life-style/health-fitness/web-stories/from-jada-pinkett-smith-to-sameera-reddy-celebs-who-opened-up-about-hair-loss/photostory/90583022.cms
116,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/heart-health-6-surprising-activities-that-can-hurt-your-heart-health/photostory/90575485.cms
117,https://timesofindia.indiatimes.com/life-style/fashion
118,https://timesofindia.indiatimes.com/life-style/fashion/celeb-style/hebah-patels-black-floral-lehenga-is-perfect-for-a-summer-bride-who-wants-to-break-rules/articleshow/90590158.cms
119,https://timesofindia.indiatimes.com/life-style/fashion/celeb-style/harnaaz-sandhu-is-on-top-of-her-style-game-in-outfits-by-top-designers/photostory/90575975.cms
120,https://timesofindia.indiatimes.com/life-style/fashion/style-guide/know-more-about-paithani-sari-a-favourite-among-maharashtrian-women/articleshow/90576443.cms
121,https://timesofindia.indiatimes.com/life-style/relationships
122,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/expert-predicts-the-future-of-ananya-panday-and-ishaan-khattar-relationship/photostory/90588698.cms
123,https://timesofindia.indiatimes.com/life-style/relationships/work/these-are-the-3-things-that-millionaires-never-buy/photostory/90582633.cms
124,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/top-5-zodiac-signs-who-are-very-emotional/photostory/90572593.cms
125,https://timesofindia.indiatimes.com/life-style/beauty
126,https://timesofindia.indiatimes.com/life-style/beauty/web-stories/beauty-secrets-of-ranbir-kapoors-63-year-old-mother-neetu-kapoor/photostory/90587040.cms
127,https://timesofindia.indiatimes.com/life-style/beauty/exclusive-your-daily-skincare-ritual-makes-all-the-difference-says-dr-madhu-chopra/articleshow/90572462.cms
128,https://timesofindia.indiatimes.com/life-style/beauty/8-step-skincare-regime-for-summer/articleshow/90570174.cms
129,https://timesofindia.indiatimes.com/life-style/parenting
